antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Product_13176'}),frozenset({'Product_21137'}),0.1700927843423884,0.1242589434360661,0.0301701384659114,0.17737459341708697,1.4274593724382505,1.0,0.009034588797427572,1.0645684530966006,0.36082909310481237,0.11420227482324011,0.06065223228133891,0.21008756630537367
frozenset({'Product_21137'}),frozenset({'Product_13176'}),0.1242589434360661,0.1700927843423884,0.0301701384659114,0.2428005391936604,1.4274593724382505,1.0,0.009034588797427572,1.0960219316239947,0.34194430618774363,0.11420227482324011,0.08760949836260791,0.21008756630537367
frozenset({'Product_13176'}),frozenset({'Product_47209'}),0.1700927843423884,0.0984691598651886,0.0291397652982498,0.17131688102414086,1.7398024037037185,1.0,0.012390871724924112,1.0879078136030842,0.5123730410975441,0.12170871316514695,0.08080446937129615,0.2336223580378432
frozenset({'Product_47209'}),frozenset({'Product_13176'}),0.0984691598651886,0.1700927843423884,0.0291397652982498,0.2959278350515455,1.7398024037037183,1.0,0.012390871724924112,1.1787246492245147,0.47166670843085057,0.12170871316514695,0.15162544479077275,0.2336223580378432
frozenset({'Product_21137'}),frozenset({'Product_24852'}),0.1242589434360661,0.2094398424493442,0.0272566695090754,0.21935378456762386,1.047335511726607,1.0,0.0012318959729037474,1.0126996607711582,0.051609010969571545,0.08894557259747572,0.012540401920829699,0.17474729433892183
frozenset({'Product_24852'}),frozenset({'Product_21137'}),0.2094398424493442,0.1242589434360661,0.0272566695090754,0.1301408041102198,1.047335511726607,1.0,0.0012318959729037474,1.0067618537597192,0.057169754082650265,0.08894557259747572,0.006716438186913188,0.17474729433892183
frozenset({'Product_21903'}),frozenset({'Product_24852'}),0.1104174280261501,0.2094398424493442,0.0257796321110975,0.2334743035763532,1.114755916763173,1.0,0.002653823381638821,1.0313550625101622,0.11572016247431573,0.08766267389278169,0.030401811800728137,0.17828139239113794
frozenset({'Product_24852'}),frozenset({'Product_21903'}),0.2094398424493442,0.1104174280261501,0.0257796321110975,0.12308848120592264,1.114755916763173,1.0,0.002653823381638821,1.0144496370593896,0.13021480880351277,0.08766267389278169,0.014243819043866141,0.17828139239113794
frozenset({'Product_47766'}),frozenset({'Product_24852'}),0.0819933406423843,0.2094398424493442,0.0250791813862833,0.30586851553794697,1.4604122690357988,1.0,0.007906509040246923,1.138919895217452,0.3434199998370253,0.09415732906471513,0.12197512380001777,0.21280629809565832
frozenset({'Product_24852'}),frozenset({'Product_47766'}),0.2094398424493442,0.0819933406423843,0.0250791813862833,0.11974408065336964,1.4604122690357988,1.0,0.007906509040246923,1.0428860961696296,0.3987828678132946,0.09415732906471513,0.04112251215846495,0.21280629809565832
