support,itemsets,length
0.03377898241767166,frozenset({'Product_4605'}),1
0.03777358184106874,frozenset({'Product_4920'}),1
0.02721098794006578,frozenset({'Product_5077'}),1
0.04081901977504365,frozenset({'Product_5876'}),1
0.04020485645835871,frozenset({'Product_8277'}),1
0.03263694319243107,frozenset({'Product_8518'}),1
0.028977341941771227,frozenset({'Product_10749'}),1
0.17009278434238845,frozenset({'Product_13176'}),1
0.06360904698095586,frozenset({'Product_16797'}),1
0.03382466398668128,frozenset({'Product_17794'}),1
0.03581435010354489,frozenset({'Product_19057'}),1
0.12425894343606611,frozenset({'Product_21137'}),1
0.03354042311284363,frozenset({'Product_21616'}),1
0.11041742802615016,frozenset({'Product_21903'}),1
0.026231372071303855,frozenset({'Product_21938'}),1
0.02874893409672311,frozenset({'Product_22035'}),1
0.025261907662321843,frozenset({'Product_22825'}),1
0.05166077881999431,frozenset({'Product_22935'}),1
0.026287205100093393,frozenset({'Product_24184'}),1
0.20943984244934422,frozenset({'Product_24852'}),1
0.05255918301051691,frozenset({'Product_24964'}),1
0.06697933162788809,frozenset({'Product_26209'}),1
0.028500223332115156,frozenset({'Product_26604'}),1
0.0298909733219637,frozenset({'Product_27086'}),1
0.03488549153368254,frozenset({'Product_27104'}),1
0.062487310675275104,frozenset({'Product_27845'}),1
0.06621797214439436,frozenset({'Product_27966'}),1
0.04179863564380558,frozenset({'Product_28204'}),1
0.030632029885897593,frozenset({'Product_28985'}),1
0.03968713200958298,frozenset({'Product_30391'}),1
0.033469362894384215,frozenset({'Product_30489'}),1
0.032982092824948225,frozenset({'Product_31717'}),1
0.02889105453364194,frozenset({'Product_34126'}),1
0.026028342875705525,frozenset({'Product_34969'}),1
0.028033256182239005,frozenset({'Product_35951'}),1
0.03452003898160556,frozenset({'Product_37646'}),1
0.04571709911885329,frozenset({'Product_39275'}),1
0.02816522515937792,frozenset({'Product_39877'}),1
0.04067689933812482,frozenset({'Product_40706'}),1
0.029180371137369553,frozenset({'Product_41950'}),1
0.03682442035164657,frozenset({'Product_42265'}),1
0.025632435944288788,frozenset({'Product_43352'}),1
0.025449709668250293,frozenset({'Product_43961'}),1
0.03141876801884111,frozenset({'Product_44359'}),1
0.03263694319243107,frozenset({'Product_44632'}),1
0.05179274779713323,frozenset({'Product_45007'}),1
0.03772790027205912,frozenset({'Product_45066'}),1
0.03295163844560848,frozenset({'Product_46979'}),1
0.09846915986518862,frozenset({'Product_47209'}),1
0.07416656515206886,frozenset({'Product_47626'}),1
0.08199334064238438,frozenset({'Product_47766'}),1
0.026368416778332723,frozenset({'Product_48679'}),1
0.03119543590368295,frozenset({'Product_49235'}),1
0.04420453161164575,frozenset({'Product_49683'}),1
0.0301701384659114,"frozenset({'Product_13176', 'Product_21137'})",2
0.029139765298249888,"frozenset({'Product_13176', 'Product_47209'})",2
0.027256669509075404,"frozenset({'Product_21137', 'Product_24852'})",2
0.025779632111097576,"frozenset({'Product_21903', 'Product_24852'})",2
0.025079181386283348,"frozenset({'Product_47766', 'Product_24852'})",2
